V;A1;A2;A3
0,649998;59,9268;56,3561;56,2829
0,648002;59,5514;55,9991;55,935
0,646005;59,1852;55,6695;55,6054
0,644009;58,8464;55,3491;55,285
0,642012;58,4985;55,0378;54,9737
0,640016;58,1781;54,7265;54,6624
0,638019;57,8485;54,4244;54,3603
0,636023;57,528;54,1314;54,0673
0,634026;57,2259;53,8293;53,7743
0,63203;56,9146;53,5454;53,4905
0,630034;56,6125;53,2616;53,2067
0,628037;56,3195;52,987;52,932
0,626041;56,0266;52,7214;52,6665
0,624044;55,7427;52,4468;52,401
0,622048;55,4498;52,1813;52,1355
0,620051;55,1751;51,9249;51,8791
0,618055;54,9004;51,6686;51,6228
0,616058;54,6349;51,4214;51,3756
0,614062;54,3694;51,165;51,1284
0,612066;54,1131;50,927;50,8812
0,610069;53,8567;50,6798;50,6432
0,608073;53,6004;50,4417;50,4051
0,606076;53,3532;50,2129;50,1671
0,60408;53,106;49,9748;49,929
0,602083;52,8588;49,7459;49,7093
0,600087;52,6207;49,5262;49,4804
0,59809;52,3827;49,3065;49,2515
0,596094;52,1538;49,0867;49,041
0,594097;51,9249;48,867;48,8212
0,592101;51,696;48,6564;48,6107
0,590105;51,4763;48,4459;48,4001
0,588108;51,2566;48,2353;48,1895
0,586112;51,0369;48,0339;47,9881
0,584115;50,8171;47,8325;47,7775
0,582119;50,6065;47,631;47,5853
0,580122;50,396;47,4296;47,3838
0,578126;50,1854;47,2374;47,1916
0,576129;49,984;47,0451;46,9993
0,574133;49,7826;46,8528;46,807
0,572137;49,5811;46,6697;46,6239
0,57014;49,3889;46,4866;46,4408
0,568144;49,1875;46,2943;46,2577
0,566147;48,9952;46,1204;46,0746
0,564151;48,8029;45,9373;45,9007
0,562154;48,6107;45,7542;45,7176
0,560158;48,4367;45,5802;45,5528
0,558161;48,2444;45,4063;45,3788
0,556165;48,0613;45,2323;45,2049
0,554168;47,8782;45,0675;45,0401
0,552172;47,7043;44,9027;44,8753
0,550176;47,5212;44,7288;44,7013
0,548179;47,3472;44,564;44,5365
0,546183;47,1733;44,4083;44,3717
0,544186;46,9993;44,2435;44,2069
0,54219;46,8345;44,0787;44,0513
0,540193;46,6697;43,9231;43,8956
0,538197;46,5049;43,7675;43,74
0,5362;46,3401;43,6118;43,5843
0,534204;46,1753;43,4562;43,4287
0,532208;46,0197;43,3005;43,2822
0,530211;45,8549;43,154;43,1266
0,528215;45,6992;42,9984;42,9801
0,526218;45,5344;42,8519;42,8336
0,524222;45,388;42,7054;42,6871
0,522225;45,2232;42,5589;42,5498
0,520229;45,0767;42,4125;42,4033
0,518232;44,9302;42,2751;42,2568
0,516236;44,7745;42,1286;42,1195
0,514239;44,6189;41,9913;41,973
0,512243;44,4724;41,854;41,8357
0,510247;44,3259;41,7166;41,6983
0,50825;44,1794;41,5702;41,561
0,506254;44,0421;41,442;41,4328
0,504257;43,8956;41,3046;41,2955
0,502261;43,7583;41,1673;41,1582
0,500264;43,6118;41,0391;41,03
0,498268;43,4745;40,911;40,9018
0,496271;43,328;40,7736;40,7645
0,494275;43,1907;40,6455;40,6363
0,492279;43,0533;40,5173;40,5173
0,490282;42,9252;40,3891;40,3891
0,488286;42,7878;40,2609;40,2609
0,486289;42,6596;40,1419;40,1419
0,484293;42,5223;40,0137;40,0137
0,482296;42,385;39,8856;39,8947
0,4803;42,2568;39,7665;39,7757
0,478303;42,1195;39,6475;39,6567
0,476307;41,9913;39,5193;39,5285
0,47431;41,8631;39,4003;39,4095
0,472314;41,7441;39,2813;39,2905
0,470318;41,6068;39,1623;39,1714
0,468321;41,4878;39,0433;39,0616
0,466325;41,3596;38,9242;38,9425
0,464328;41,2314;38,8052;38,8235
0,462332;41,1032;38,6954;38,7137
0,460335;40,9842;38,5763;38,5946
0,458339;40,856;38,4573;38,4756
0,456342;40,737;38,3383;38,3658
0,454346;40,618;38,2284;38,2559
0,45235;40,4898;38,1186;38,1369
0,450353;40,3708;37,9995;38,027
0,448357;40,2518;37,8897;37,9171
0,44636;40,1328;37,7798;37,8073
0,444364;40,0137;37,6699;37,6974
0,442367;39,8947;37,5601;37,5875
0,440371;39,7757;37,4411;37,4685
0,438374;39,6567;37,3312;37,3678
0,436378;39,5377;37,2213;37,258
0,434381;39,4186;37,1115;37,1389
0,432385;39,2996;37,0108;37,0382
0,430389;39,1897;36,8917;36,9192
0,428392;39,0707;36,791;36,8185
