V;Ac1 ac+R6G VC_1;Ac1 ac+R6G VC_2;Ac1 ac+R6G VC_3;Ac1 ac+R6G VC_4;Ac1 ac+R6G VC_5;Ac1 ac+R6G VC_6;Ac1 ac+R6G VC_7;Ac1 ac+R6G VC_8;Ac1 ac+R6G VC_9;Ac1 ac+R6G VC_10;Ac1 ac+R6G VC_11;Ac1 ac+R6G VC_12;Ac1 ac+R6G VC_13;Ac1 ac+R6G VC_14;Ac1 ac+R6G VC_15;Ac1 ac+R6G VC_16;Ac1 ac+R6G VC_17;Ac1 ac+R6G VC_18;Ac1 ac+R6G VC_19
0,649998;59,1577;60,1831;59,6979;61,236;60,53102016;61,30006313;61,14442348;61,13526821;60,9338522;60,51270962;61,01624966;61,08949184;61,3458395;59,99999046;60,70497036;60,38453579;60,81483364;60,66834927;60,84229946
0,648002;57,8759;58,9563;58,352;59,9268;58,93797874;59,89012718;59,41405296;59,81688499;59,53307152;58,96544456;59,48729515;59,48729515;59,53307152;58,54427814;58,73656273;58,95628929;59,04784203;59,40489769;59,52391624
0,646005;57,2625;58,3429;57,7111;59,2859;58,20553303;59,23094749;58,63585472;59,1943264;58,85558128;58,26046467;58,76402855;58,75487328;58,69078636;57,86678791;57,84847736;58,29708576;58,27877522;58,7823391;58,8830471
0,644009;56,7773;57,8485;57,2168;58,7823;57,65621662;58,71825218;58,06820393;58,68163109;58,34286213;57,72030354;58,22384357;58,20553303;58,09566975;57,34493732;57,23507404;57,79354572;57,71114826;58,28793049;58,37032795
0,642012;56,3287;57,3999;56,759;58,3062;57,15267658;58,22384357;57,54635334;58,19637775;57,85763264;57,2167635;57,72030354;57,70199299;57,56466389;56,85968399;56,69488907;57,30831623;57,19845295;57,82101154;57,903409
0,640016;55,9167;56,9879;56,3378;57,8759;56,70404434;57,78439045;57,08858967;57,77523518;57,41817951;56,77728653;57,27169514;57,24422932;57,08858967;56,43854141;56,21881485;56,87799454;56,74066544;57,39986897;57,47311115
0,638019;55,5138;56,5942;55,935;57,4731;56,27374649;57,36324787;56,65826797;57,3540926;57,00616837;56,34698868;56,84137344;56,81390762;56,6491127;56,02655411;55,77020645;56,47516251;56,30121231;56,98785782;57,07027912
0,636023;55,1385;56,2005;55,5322;57,0703;55,86175919;56,94208145;56,22797012;56,95123672;56,59418106;55,93500137;56,43854141;56,39276505;56,21881485;55,62372208;55,33072948;56,0631752;55,88922501;56,58502579;56,66742325
0,634026;54,7906;55,8434;55,1843;56,7041;55,48639297;56,56671524;55,84344864;56,58502579;56,21881485;55,55963516;56,05401993;56,01739883;55,83429337;55,2574873;54,946208;55,70611954;55,50470352;56,22797012;56,30121231
0,63203;54,3969;55,4589;54,7906;56,2921;55,06522655;56,15472794;55,41312695;56,18219376;55,80682755;55,13846874;55,63287735;55,58710098;55,38566113;54,86381054;54,50675488;55,30326366;55,06522655;55,83429337;55,89838028
0,630034;54,0673;55,1202;54,4518;55,9533;54,71732616;55,79767227;55,05607128;55,83429337;55,46805859;54,79056835;55,27579784;55,23917675;55,03776073;54,51591015;54,14969921;54,96451855;54,70817089;55,48639297;55,55047989
0,628037;53,7377;54,7906;54,1131;55,6054;54,36942577;55,44974804;54,69901562;55,48639297;55,11100292;54,45182323;54,92789745;54,89127636;54,68070507;54,17716503;53,78346443;54,61661816;54,3602705;55,14762402;55,21171093
0,626041;53,4081;54,4427;53,7743;55,2575;54,01237011;55,09269238;54,32364941;55,12931347;54,75394726;54,0856123;54,57084179;54,51591015;54,31449413;53,8292408;53,41725349;54,26871777;53,98490429;54,79972363;54,86381054
0,624044;53,0968;54,1314;53,4539;54,9279;53,68275642;54,74479198;53,99405956;54,79972363;54,42435741;53,74684334;54,23209667;54,17716503;53,96659374;53,49965096;53,07850838;53,9482832;53,6552906;54,47928905;54,5342207
0,622048;52,7672;53,7926;53,1243;54,58;53,32570076;54,40604687;53,63698006;54,46097851;54,0856123;53,39894295;53,88417244;53,8292408;53,60035896;53,17006111;52,72145271;53,60951424;53,28907967;54,14054394;54,19547558
0,620051;52,4651;53,4813;52,8222;54,2779;53,00526619;54,0856123;53,30739021;54,14969921;53,76515388;53,08766365;53,56373787;53,49965096;53,27992439;52,85878181;52,39186287;53,29823494;52,9686451;53,8292408;53,89332771
0,618055;52,1813;53,1975;52,5292;53,9666;52,71229744;53,77430916;53,00526619;53,83839607;53,46302986;52,78553963;53,25245857;53,20668221;52,9686451;52,55665779;52,089715;53,00526619;52,66652107;53,53627205;53,59120369
0,616058;51,8608;52,8771;52,1996;53,637;52,37355232;53,43556404;52,6573658;53,5179615;53,12428474;52,44679451;52,91371346;52,85878181;52,62074471;52,23619938;51,74181461;52,68483162;52,31859684;53,20668221;53,26161385
0,614062;51,5862;52,6024;51,9249;53,3532;52,09887028;53,14259529;52,37355232;53,22499275;52,84047127;52,16295719;52,63905525;52,57496834;52,33690739;51,9523859;51,44884586;52,40101814;52,03478336;52,932024;52,97780037
0,612066;51,2932;52,3095;51,632;53,051;51,78759098;52,83131599;52,05309391;52,91371346;52,53834724;51,86083317;52,32775211;52,2636652;52,01647282;51,65941715;51,13756657;52,09887028;51,72350407;52,63905525;52,68483162
0,610069;51,0369;52,0256;51,3481;52,7672;51,5037775;52,54750252;51,76928043;52,63905525;52,25450993;51,58617496;52,03478336;51,97069645;51,73265934;51,38475895;50,86290836;51,82421207;51,43053532;52,35524178;52,40101814
0,608073;50,753;51,751;51,0735;52,4743;51,21080875;52,25450993;51,47631168;52,34606266;51,9523859;51,28405094;51,74181461;51,68688297;51,43053532;51,0917902;50,5607605;51,54955387;51,13756657;52,07140446;52,11718082
0,606076;50,4875;51,4763;50,7897;52,1904;50,92699528;51,96154118;51,18334293;52,06224918;51,6777277;51,00023746;51,45800114;51,38475895;51,13756657;50,82628727;50,26779175;51,25658512;50,85375309;51,79674625;51,83336735
0,60408;50,2312;51,2108;50,5333;51,9158;50,66146851;51,70519352;50,90868473;51,79674625;51,4030695;50,73471069;51,19249821;51,11010075;50,86290836;50,5607605;49,99313354;51,00939274;50,57907104;51,53124332;51,57701969
0,602083;49,9748;50,9545;50,2678;51,6503;50,39596558;51,42138004;50,64315796;51,53124332;51,13756657;50,46005249;50,91784;50,85375309;50,60653687;50,30441284;49,73678589;50,74386597;50,31356812;51,26574039;51,31151676
0,600087;49,7185;50,6798;50,0023;51,3664;50,1121521;51,13756657;50,36849976;51,24742985;50,86290836;50,19454956;50,64315796;50,5607605;50,31356812;50,02975464;49,44381714;50,48751831;50,02975464;51,00023746;51,02770329
0,59809;49,4621;50,4234;49,7459;51,1009;49,86495972;50,87206364;50,09384155;50,98192692;50,60653687;49,92904663;50,37765503;50,29525757;50,04806519;49,78256226;49,17829037;50,22201538;49,77340698;50,73471069;50,78048706
0,596094;49,2149;50,1854;49,4987;50,8537;49,60861206;50,61569214;49,84664917;50,73471069;50,35018921;49,67269897;50,12130737;50,04806519;49,79171753;49,5262146;48,93109798;49,974823;49,51705933;50,49667358;50,53329468
0,594097;48,9769;49,9382;49,2607;50,6065;49,3522644;50,36849976;49,59030151;50,47836304;50,09384155;49,42550659;49,87411499;49,79171753;49,54452515;49,28817749;48,6839056;49,72763062;49,26071167;50,2494812;50,28610229
0,592101;48,748;49,7002;49,0227;50,3593;49,11420345;50,10299683;49,33395386;50,23117065;49,84664917;49,17829037;49,61776733;49,54452515;49,28817749;49,04096127;48,42755795;49,48043823;49,01349545;50,00228882;50,03890991
0,590105;48,51;49,4621;48,7846;50,1213;48,87616634;49,86495972;49,10504818;49,99313354;49,60861206;48,94940853;49,37973022;49,30648804;49,05011654;48,81207943;48,19867611;49,26071167;48,77545834;49,77340698;49,81002808
0,588108;48,2811;49,2149;48,5374;49,865;48,61981869;49,60861206;48,83954525;49,72763062;49,34310913;48,69306087;49,12335873;49,04096127;48,78461361;48,56488705;47,92401791;49,00434017;48,51911068;49,5262146;49,55368042
0,586112;48,0613;48,9952;48,3268;49,6361;48,40009212;49,37973022;48,61981869;49,51705933;49,12335873;48,46417904;48,90363216;48,81207943;48,56488705;48,34516048;47,70429134;48,78461361;48,29938412;49,30648804;49,33395386
0,584115;47,8233;48,748;48,0888;49,398;48,15289974;49,132514;48,36347103;49,26986694;48,88532162;48,22614193;48,65643978;48,56488705;48,30853939;48,10712337;47,45707512;48,5465765;48,05219173;49,05927181;49,09589291
0,582119;47,6127;48,5374;47,8599;49,1691;47,93317318;48,90363216;48,14374447;49,04096127;48,65643978;47,99726009;48,42755795;48,34516048;48,08881283;47,88739681;47,23734856;48,33600521;47,83246517;48,83954525;48,87616634
