Potencial (V),Negativo,"0,6 ng. mL-1","1,0 ng. mL-1","1,2 ng. mL-1","2,0 ng. mL-1","2,5 ng. mL-1","4,0 ng. mL-1","5,0 ng. mL-1","10,0 ng. mL-1","20,0 ng. mL-1"
"-0,499957","-63,0672","-67,3355","-62,5753","-65,6654","-70,7378","-68,2392","-62,1216","-75,0561","-77,0689","-83,8628"
"-0,497961","-59,9742","-64,0446","-59,472","-62,2878","-67,6453","-64,9601","-59,0597","-71,8142","-73,8081","-80,5534"
"-0,495964","-57,7224","-61,7063","-57,2657","-59,937","-65,2941","-62,5352","-56,8409","-69,3892","-71,3399","-78,0169"
"-0,493968","-56,0274","-59,9742","-55,5563","-58,1183","-63,5208","-60,7165","-55,1645","-67,5087","-69,4284","-75,9858"
"-0,491971","-54,6417","-58,5761","-54,1334","-56,6584","-62,0568","-59,1947","-53,8035","-65,9251","-67,8304","-74,2486"
"-0,489975","-53,4664","-57,3389","-52,9746","-55,4211","-60,8402","-57,9575","-52,6426","-64,6261","-66,5088","-72,7899"
"-0,487979","-51,8536","-55,8412","-51,7611","-53,7608","-59,6855","-56,583","-51,5745","-63,4012","-65,3045","-71,4135"
"-0,485982","-51,0792","-54,7116","-50,7105","-52,8174","-58,4555","-55,358","-50,4578","-62,2382","-64,1107","-70,0939"
"-0,483985","-50,27","-53,9792","-49,9496","-52,0368","-57,3801","-54,3936","-49,6764","-61,0524","-62,827","-68,8615"
"-0,481989","-49,5228","-53,2666","-49,1928","-51,2672","-56,4862","-53,6414","-48,9691","-60,1369","-61,9475","-67,6939"
"-0,479993","-48,7718","-52,4933","-48,4732","-50,4581","-55,8016","-52,8805","-48,1103","-59,1651","-61,0897","-66,6734"
"-0,477996","-47,9985","-51,673","-47,7535","-49,6576","-55,0614","-52,0949","-47,4257","-58,1233","-60,2319","-65,6486"
"-0,476","-47,2326","-50,8911","-47,0813","-48,8843","-54,2778","-51,2747","-46,7761","-57,2553","-59,3111","-64,6599"
"-0,474003","-46,5299","-50,1784","-46,438","-48,1457","-53,5705","-50,5138","-46,1699","-56,5501","-58,3047","-63,7047"
"-0,472007","-45,8618","-49,5153","-45,7554","-47,4355","-52,8632","-49,7776","-45,5801","-55,8016","-57,5903","-62,7576"
"-0,47001","-45,2643","-48,8745","-45,178","-46,7736","-52,2364","-49,1368","-45,0275","-55,1384","-56,9317","-61,9411"
