Potencial (V),Paciente J (1),Paciente J (2),Paciente J (3),Paciente K (1),Paciente K (2),Paciente K (3),Paciente L (1),Paciente L (2),Paciente L (3),Paciente M (1),Paciente M (2),Paciente M (3),Paciente N (1),Paciente N (2),Paciente N (3),Paciente O (1),Paciente O (2),Paciente O (3),Paciente P (1),Paciente P (2),Paciente P (3),Paciente Q (1),Paciente Q (2),Paciente Q (3),Paciente R (1),Paciente R (2),Paciente S (1),Paciente S (2),Paciente S (3)
"-0,499945163726807","-67,7822828292847","-64,0947818756104","-65,7823085784912","-68,3448314666748","-69,5322751998901","-68,7198638916016","-63,657283782959","-63,9697313308716","-59,7821474075317","-62,2822046279907","-56,7821264266968","-58,407187461853","-72,0323324203491","-69,8448419570923","-67,7822828292847","-72,6573467254639","-70,0323581695557","-65,7823085784912","-64,2197132110596","-78,5949230194092","-52,8445243835449","-75,9074687957764","-71,0948705673218","-70,1572895050049","-95,2826738357544","-92,0951366424561","-63,7822151184082","-56,0946464538574","-58,2196712493897"
"-0,497945070266724","-63,657283782959","-60,4697465896606","-61,7196559906006","-64,407229423523","-65,4072761535645","-64,157247543335","-59,7196817398071","-59,2197179794312","-55,8446645736694","-57,7821731567383","-53,2821416854858","-54,5320510864258","-67,6573514938355","-65,8447742462158","-62,9696846008301","-68,8447952270508","-65,9698247909546","-61,3447427749634","-59,7196817398071","-74,1573572158814","-48,7195253372192","-71,1573362350464","-66,8448209762573","-66,0947561264038","-89,7825956344605","-87,6575708389282","-59,7821474075317","-52,0321130752564","-54,4695854187012"
"-0,49594521522522","-61,2196922302246","-57,5946569442749","-59,2821836471558","-62,0322227478027","-62,6572370529175","-61,1572265625","-56,5946102142334","-56,3446283340454","-52,6571273803711","-54,5946359634399","-50,2195358276367","-51,7820119857788","-64,9697780609131","-63,2197856903076","-59,7821474075317","-66,0947561264038","-63,657283782959","-58,4696531295776","-56,7196607589722","-70,719838142395","-46,344518661499","-68,5948133468628","-63,9697313308716","-63,3447170257568","-86,1575603485107","-84,0950012207031","-56,657075881958","-48,9695072174072","-51,7820119857788"
"-0,493945121765137","-58,5321187973022","-55,0945997238159","-57,3446750640869","-59,6572160720825","-60,4071617126465","-59,2197179794312","-54,8446178436279","-54,1571378707886","-50,9696006774902","-52,9695749282837","-47,9695796966553","-49,7195720672607","-62,8447532653809","-61,4696741104126","-57,7197074890137","-63,8447999954224","-61,3447427749634","-56,2821626663208","-54,5946359634399","-68,3448314666748","-44,2194938659668","-66,0322904586792","-61,5322589874268","-61,4696741104126","-83,5325717926025","-81,5950632095337","-54,2820692062378","-47,344446182251","-49,7195720672607"
"-0,491945028305054","-56,7821264266968","-53,7821054458618","-55,907130241394","-57,8446388244629","-59,2197179794312","-57,5321912765503","-53,0946254730225","-51,9695281982422","-49,5320558547974","-50,9696006774902","-46,4069843292236","-47,7194786071777","-61,2196922302246","-59,6572160720825","-55,8446645736694","-61,8447065353394","-59,9071979522705","-54,7195672988892","-53,0946254730225","-66,2822723388672","-43,0943965911865","-64,0947818756104","-59,5321655273438","-59,4696998596191","-80,7825326919556","-79,7200202941895","-53,0320405960083","-45,1569557189941","-48,0320453643799"
"-0,489944934844971","-55,5945634841919","-51,9695281982422","-54,2196035385132","-56,3446283340454","-57,6571226119995","-55,7196140289307","-51,7195463180542","-50,3445863723755","-48,0320453643799","-49,4070053100586","-45,0944900512695","-46,1568832397461","-59,5321655273438","-58,0946207046509","-54,6571016311646","-60,2196455001831","-57,9696893692017","-53,3446073532105","-51,9695281982422","-65,0947093963623","-41,7194366455078","-62,1572732925415","-58,0946207046509","-57,7197074890137","-78,2824754714966","-77,5949954986572","-51,2820482254028","-43,7819957733154","-46,0319519042969"
"-0,487945079803467","-54,4695854187012","-50,8445501327515","-52,9071092605591","-55,0321340560913","-55,9695959091187","-54,4695854187012","-50,1570701599121","-49,2820739746094","-46,4069843292236","-48,0320453643799","-43,7819957733154","-44,9695587158203","-58,2821369171143","-56,7196607589722","-53,0320405960083","-58,8446855545044","-56,8445920944214","-51,6570806503296","-50,4695177078247","-63,7822151184082","-39,5912289619446","-60,6571435928345","-56,5321445465088","-56,5321445465088","-76,0324001312256","-75,469970703125","-50,3445863723755","-42,4695014953613","-44,6569919586182"
"-0,485944986343384","-53,4070730209351","-49,5320558547974","-51,844596862793","-53,907036781311","-54,8446178436279","-53,4695386886597","-49,4694709777832","-47,9695796966553","-45,9070205688477","-47,2195148468018","-42,1037673950195","-44,2194938659668","-56,9696426391602","-55,7820796966553","-52,1570444107056","-57,8446388244629","-55,907130241394","-50,4695177078247","-49,0319728851318","-62,0322227478027","-38,5412216186523","-59,6572160720825","-55,5320978164673","-55,5320978164673","-74,0324258804321","-73,8449096679688","-48,7195253372192","-40,434992313385","-43,9069271087647"
"-0,483944892883301","-52,1570444107056","-48,4069585800171","-50,7194995880127","-52,8445243835449","-54,0320873260498","-52,2195100784302","-48,0945110321045","-47,2195148468018","-44,6569919586182","-46,2195873260498","-41,1037564277649","-42,2600269317627","-55,907130241394","-54,6571016311646","-50,7820844650269","-56,657075881958","-54,4071197509766","-49,344539642334","-48,4069585800171","-60,907244682312","-37,6224517822266","-58,2196712493897","-53,9696216583252","-53,9696216583252","-72,2823143005371","-71,9074010848999","-47,844409942627","-39,3537282943726","-41,803765296936"
"-0,481944799423218","-50,8445501327515","-47,344446182251","-49,7820377349854","-51,844596862793","-52,8445243835449","-51,4695644378662","-46,7820167541504","-46,1568832397461","-43,1975364685059","-45,2818870544434","-40,1912450790405","-41,3412570953369","-54,9070835113525","-53,4070730209351","-49,6569871902466","-55,7820796966553","-53,7821054458618","-48,6570596694946","-47,5320816040039","-60,0321292877197","-36,6911888122559","-57,0946931838989","-52,8445243835449","-52,8445243835449","-70,469856262207","-70,4073905944824","-47,344446182251","-38,2662177085876","-40,728747844696"
"-0,479944944381714","-49,7820377349854","-46,4069843292236","-48,5944747924805","-50,9696006774902","-51,7195463180542","-50,3445863723755","-46,344518661499","-45,1569557189941","-42,3787713050842","-44,0318584442139","-39,3099784851074","-40,4787421226501","-54,2820692062378","-52,3445606231689","-48,7195253372192","-54,344654083252","-52,6571273803711","-47,6570129394531","-46,0944175720215","-58,7196350097656","-35,897421836853","-55,7820796966553","-51,844596862793","-51,844596862793","-69,4698095321655","-69,2822933197022","-46,4694499969482","-37,3412013053894","-39,7662401199341"
"-0,477944850921631","-49,2194890975952","-45,4695224761963","-47,9695796966553","-49,9070882797241","-50,9696006774902","-49,2820739746094","-45,0944900512695","-43,9693927764893","-41,6162610054016","-43,6568260192871","-38,4787201881409","-39,597487449646","-53,0320405960083","-51,594614982605","-48,1569766998291","-53,6570549011231","-51,9070625305176","-46,5943813323975","-45,5944538116455","-57,9071044921875","-35,1224184036255","-55,0945997238159","-51,1569976806641","-51,4695644378662","-67,6573514938355","-67,6573514938355","-45,5944538116455","-36,4099383354187","-38,828718662262"
"-0,475944757461548","-47,9695796966553","-44,5945262908936","-47,2195148468018","-49,4070053100586","-50,2195358276367","-48,0320453643799","-44,6569919586182","-43,0943965911865","-40,9162521362305","-41,8537616729736","-37,684953212738","-38,8037204742432","-52,1570444107056","-50,9696006774902","-47,4069118499756","-52,4070262908936","-50,5945682525635","-45,6569194793701","-43,8663005828857","-56,7821264266968","-34,3536496162415","-53,8445711135864","-49,84450340271","-49,9695539474487","-66,0322904586792","-66,1572217941284","-44,844388961792","-35,5911731719971","-37,9037022590637"
"-0,473944902420044","-47,2819805145264","-43,7819957733154","-46,4694499969482","-48,5944747924805","-49,344539642334","-47,2195148468018","-42,7912831306458","-41,7225122451782","-40,141236782074","-41,0724997520447","-36,9099378585815","-38,0412101745605","-51,4070987701416","-49,7195720672607","-46,4069843292236","-51,7195463180542","-49,9695539474487","-44,2413091659546","-43,1287884712219","-55,907130241394","-33,6223959922791","-53,2821416854858","-49,2820739746094","-49,2820739746094","-64,3447637557983","-64,7197961807251","-43,84446144104","-34,7286581993103","-37,0224475860596"
"-0,471944808959961","-46,4069843292236","-42,3662781715393","-45,7818508148193","-47,5320816040039","-48,2195615768433","-46,5943813323975","-42,0537710189819","-41,0287499427795","-39,4912362098694","-40,4037475585938","-36,2224340438843","-37,3536944389343","-50,8445501327515","-49,1570234298706","-45,5319881439209","-50,9696006774902","-49,0319728851318","-43,478786945343","-42,3600196838379","-55,0945997238159","-32,9411268234253","-52,094578742981","-48,0320453643799","-48,4069585800171","-63,1572008132935","-63,7822151184082","-42,6662802696228","-33,9536428451538","-36,2474322319031"
"-0,469944715499878","-45,7193851470947","-41,6100144386292","-44,078803062439","-46,6570854187012","-47,5945472717285","-45,9070205688477","-41,3037538528442","-40,2724981307983","-38,8599753379822","-39,6787285804749","-35,4849219322205","-36,6161823272705","-49,7820377349854","-48,2195615768433","-43,9787983894348","-49,7820377349854","-48,0320453643799","-42,7037835121155","-41,6225075721741","-54,4071197509766","-32,2973728179932","-51,1569976806641","-47,344446182251","-47,4693775177002","-62,2197389602661","-62,2822046279907","-42,0037746429443","-33,1536293029785","-35,4349136352539"
"-0,467944622039795","-45,2194213867188","-40,8599972724915","-43,4162855148315","-46,1568832397461","-46,5943813323975","-45,2194213867188","-40,5849933624268","-39,5662307739258","-38,2349610328674","-38,9537215232849","-34,8474144935608","-35,9474301338196","-48,9070415496826","-47,2195148468018","-43,2787895202637","-48,7819910049439","-47,4069118499756","-42,0037746429443","-40,910005569458","-53,7821054458618","-31,7098617553711","-50,2195358276367","-46,5943813323975","-46,7820167541504","-60,5946779251099","-60,9697103500366","-41,4100050926209","-32,4661254882812","-34,6786618232727"
