V;A4 ac+rod becker 30s;C3 ac+rod becker 30s;D2 ac+rod becker 30s;E5 ac+rod becker 30s
0,550022;42,6413;44,4907;43,3371;43,6301
0,548026;41,7258;43,447;42,1836;42,7695
0,546029;41,2589;42,9252;41,6983;42,211
0,544033;40,8194;42,5132;41,2039;41,7624
0,542036;40,5447;42,1286;40,7828;41,4328
0,54004;40,1694;41,8082;40,4532;41,2497
0,538043;39,8215;41,442;40,0778;40,7919
0,536047;39,6384;41,1124;39,7665;40,499
0,53405;39,2721;40,8835;39,3729;40,206
0,532054;39,0249;40,5997;39,1348;39,9405
0,530058;38,7411;40,2609;38,8235;39,6933
0,528061;38,4756;39,9496;38,5306;39,4186
0,526065;38,2559;39,6841;38,3108;39,1714
0,524068;37,9721;39,4461;38,0362;38,9242
0,522072;37,6974;39,1257;37,8256;38,6587
0,520075;37,4502;38,9242;37,5418;38,4298
0,518079;37,2122;38,6587;37,2946;38,1552
0,516082;36,9741;38,4207;37,1572;37,9263
0,514086;36,7178;38,1735;36,8368;37,908
0,512089;36,5072;37,9538;36,6445;37,5509
0,510093;36,2966;37,7066;36,3699;37,2946
0,508097;36,0769;37,4868;36,2325;37,1298
0,5061;35,9945;37,3587;35,9396;36,8368
0,504104;35,6924;37,0657;35,729;36,6445
0,502107;35,491;36,9009;35,491;36,4157
0,500111;35,2987;36,6903;35,3353;36,2325
0,498114;35,079;36,4248;35,1339;36,0128
0,496118;34,8867;36,2875;34,9325;35,8938
0,494121;34,7036;36,1593;34,7036;35,6649
0,492125;34,5663;35,903;34,5296;35,4818
0,490128;34,374;35,7107;34,2916;35,3079
0,488132;34,2824;35,4818;34,1268;35,1156
0,486136;33,9986;35,2895;33,9162;34,905
0,484139;33,9345;35,1156;33,7789;34,7585
0,482143;33,6782;34,9508;33,724;34,5754
0,480146;33,5409;34,7402;33,5042;34,4656
0,47815;33,3394;34,7219;33,2662;34,2641
0,476153;33,2204;34,4564;33,1014;34,1176
0,474157;33,0282;34,2824;32,9;33,9071
0,47216;32,8725;34,0902;32,781;33,7789
0,470164;32,7077;33,8888;32,5978;33,6049
0,468168;32,5612;33,7514;32,4422;33,4401
0,466171;32,3873;33,5683;32,3323;33,2937
0,464175;32,2042;33,4035;32,1492;33,1197
0,462178;32,0577;33,2387;31,9844;32,9549
0,460182;31,9203;33,0648;31,8105;32,8176
0,458185;31,7739;32,9366;31,6823;32,7077
0,456189;31,5999;32,7901;31,5175;32,5429
0,454192;31,4534;32,6253;31,4443;32,4788
0,452196;31,2978;32,5063;31,2886;32,2591
0,450199;31,1971;32,3232;31,0872;32,0851
0,448203;31,078;32,1767;30,959;31,957
0,446207;30,9133;32,0577;30,8675;31,7922
0,44421;30,8034;31,8929;30,721;31,6915
0,442214;30,6386;31,7739;30,6203;31,545
0,440217;30,4738;31,6091;30,4189;31,3619
0,438221;30,3822;31,4809;30,2815;31,2428
0,436224;30,2266;31,3619;30,1808;31,1147
0,434228;30,0801;31,2795;30,071;30,9773
0,432231;29,9702;31,0964;29,9886;30,8492
0,430235;29,8146;30,9499;29,7871;30,6844
0,428239;29,6864;30,9133;29,659;30,5653
0,426242;29,5583;30,7301;29,5857;30,4372
0,424246;29,4392;30,547;29,4301;30,3456
0,422249;29,3294;30,4463;29,2744;30,1991
0,420253;29,192;30,2815;29,1463;30,0618
0,418256;29,0364;30,1534;29,0181;29,9702
0,41626;28,9174;29,9886;28,9631;29,8146
0,414263;28,8624;29,8512;28,835;29,6956
0,412267;28,716;29,7597;28,78;29,5674
0,41027;28,5603;29,5949;28,5603;29,4392
0,408274;28,4413;29,485;28,4413;29,3111
0,406278;28,304;29,3568;28,304;29,1829
0,404281;28,1849;29,247;28,1575;29,073
0,402285;28,0568;29,0639;28,0293;28,9265
0,400288;27,9286;28,954;27,9103;28,8075
0,398292;27,8279;28,8167;27,8187;28,6702
0,396295;27,6905;28,661;27,6631;28,5512
0,394299;27,5715;28,5512;27,5074;28,423
0,392302;27,4342;28,423;27,3976;28,2856
0,390306;27,2969;28,2673;27,2602;28,1483
0,38831;27,1778;28,1483;27,1687;28,0293
0,386313;27,0222;27,9835;26,9764;27,8553
0,384317;26,9123;27,8553;26,8391;27,7455
0,38232;26,7659;27,7272;26,6926;27,599
0,380324;26,6285;27,5715;26,5736;27,4708
0,378327;26,4912;27,4434;26,4179;27,3335
0,376331;26,3539;27,2786;26,2898;27,187
0,374334;26,1891;27,1229;26,1067;27,0497
0,372338;26,0517;26,9673;26,006;26,8757
0,370341;25,8869;26,7933;25,8412;26,7018
0,368345;25,7404;26,6377;25,6947;26,5553
0,366349;25,6123;26,5095;25,4841;26,3813
0,364352;25,4475;26,3264;25,3376;26,1982
0,362356;25,2552;26,1341;25,1545;26,0426
0,360359;25,0813;25,951;24,9989;25,8503
0,358363;24,9073;25,7588;24,7883;25,6306
0,356366;24,7333;25,5848;24,6326;25,4475
0,35437;24,5319;25,3468;24,3854;25,2277
0,352373;24,3214;25,1453;24,2115;25,0355
0,350377;24,1016;24,9256;23,9643;24,8249
0,348381;23,9002;24,6876;23,7171;24,5869
0,346384;23,653;24,4312;23,4791;24,3214
0,344388;23,4241;24,184;23,2502;24,0833
0,342391;23,1586;23,9094;22,9664;23,8087
0,340395;22,9023;23,653;22,7008;23,5431
0,338398;22,6184;23,3326;22,3621;23,2135
0,336402;22,3346;23,0488;22,0874;22,9389
0,334405;22,06;22,7375;21,7853;22,6368
0,332409;21,7121;22,3713;21,3916;22,2614
0,330412;21,3642;22,0325;21,0437;21,9135
0,328416;20,9979;21,6388;20,6775;21,5198
0,32642;20,6317;21,2543;20,2564;21,1261
0,324423;20,2838;20,9155;19,9084;20,7599
0,322427;19,7986;20,3662;19,35;20,2014
0,32043;19,3866;19,9451;18,9288;19,7803
0,318434;18,9105;19,4232;18,3978;19,2676
0,316437;18,4436;18,9288;17,9034;18,764
0,314441;17,9675;18,4344;17,3999;18,2422
0,312444;17,3541;17,7661;16,7407;17,5921
0,310448;16,7773;17,171;16,1364;16,9879
0,308452;16,2097;16,5759;15,523;16,3745
0,306455;15,523;15,8526;14,7723;15,6237
0,304459;14,9187;15,2117;14,1314;15,0011
0,302462;14,168;14,406;13,2891;14,168
0,300466;13,4264;13,6278;12,4926;13,3898
0,298469;12,6024;12,7581;11,5953;12,4926
0,296473;11,7876;11,8975;10,753;11,6503
0,294476;10,9819;11,0826;9,89242;10,808
0,29248;10,0664;10,103;8,89448;9,81003
0,290483;9,05013;9,02266;7,77752;8,72969
0,288487;8,03387;7,94232;6,67887;7,62188
0,286491;6,99931;6,87114;5,58022;6,53239
0,284494;5,94644;5,77249;4,44495;5,40627
0,282498;4,72877;4,5182;0,974594;4,12451
0,280501;1,56786;1,19707;-0,0910964;0,84184
0,278505;0,476539;-0,00411994;-1,22637;-0,37583
0,276508;-0,428931;-0,971847;-2,37263;-1,37102
0,274512;-1,70153;-2,31586;-3,81094;-2,72969
0,272515;-3,09224;-3,75692;-5,32891;-4,19181
0,270519;-4,51682;-5,24468;-6,8954;-5,70336
0,268523;-6,12177;-6,93385;-8,62943;-7,40444
0,266526;-7,71298;-8,60288;-10,3635;-9,10002
0,26453;-9,35637;-10,3287;-12,1378;-10,8313
0,262533;-11,127;-12,1927;-14,0403;-12,7109
0,260537;-12,7924;-13,9313;-15,8338;-14,4633
