,Potencial (V),Paciente A (1),Paciente A (2),Paciente A (3),Paciente B (1),Paciente B (2),Paciente B (3),Paciente C (1),Paciente C (2),Paciente C (3),Paciente D (1),Paciente D (2),Paciente E (1),Paciente E(2),Paciente E (3),Paciente F (1),Paciente F (2),Paciente F (3),Paciente G (1),Paciente G (2),Paciente G (3),Paciente H (1),Paciente H (2),Paciente H (3),Paciente I (1),Paciente I (2),Paciente I (3)
0,-0.499957144,-66.34469032,-72.02105522,-68.54200363,-72.4697,-64.0833,-63.2685,-63.25931549,-62.14237213,-62.61844635,-63.8544,-65.9602,-67.8279,-67.1046,-67.6997,-63.96973133,-64.46969509,-62.90721893,-80.40750027,-73.1574297,-63.90726566,-74.09489155,-84.59508419,-79.03242111,-72.7824,-65.8448,-70.7823
1,-0.497960716,-62.41703033,-68.02930832,-64.1657114,-67.5532,-59.4507,-58.8464,-58.70909691,-57.79354572,-58.01327229,-59.8718,-62.0325,-63.6805,-62.8656,-63.4699,-60.40716171,-60.90724468,-59.65721607,-76.84493065,-69.65732574,-60.71972847,-70.34480572,-79.97000217,-74.90742207,-69.5323,-61.6572,-67.5948
2,-0.495964319,-59.61546898,-65.1819706,-61.06202602,-64.2847,-56.347,-55.8618,-55.70611954,-54.75394726,-54.98282909,-56.9604,-59.1211,-60.65,-59.762,-60.4028,-57.40714073,-58.15720558,-56.71966076,-74.09489155,-67.71981716,-57.65712261,-68.03226471,-77.40747929,-72.03233242,-66.9073,-58.9072,-64.8447
3,-0.493967891,-57.54635334,-63.02127838,-58.77318382,-61.9867,-54.1955,-53.7835,-53.60951424,-52.57496834,-52.84962654,-54.7631,-56.8963,-58.3886,-57.4456,-58.1048,-54.78215218,-56.46967888,-54.53205109,-72.40736485,-65.65725803,-55.7820797,-65.84477425,-74.78237152,-69.90730762,-64.2823,-57.3447,-62.4073
4,-0.491971463,-55.82513809,-61.22682095,-56.90546036,-60.1831,-52.4834,-52.1355,-51.9523859,-50.82628727,-51.11925602,-52.9686,-55.0378,-56.5301,-55.5596,-56.2463,-52.96957493,-54.46958542,-52.90710926,-70.53232193,-64.032197,-53.90703678,-64.15724754,-72.53241539,-68.09484959,-62.6572,-55.2821,-60.7822
5,-0.489975035,-54.43351269,-59.75279808,-55.38566113,-58.7732,-51.165,-50.8171,-50.66146851,-49.45297241,-49.72763062,-51.5221,-53.5271,-55.0103,-54.0307,-54.7539,-51.59461498,-53.53212357,-51.71954632,-69.46980953,-62.53218651,-52.5945425,-62.3446703,-70.90735435,-66.03229046,-61.5947,-53.7821,-59.7197
6,-0.487978637,-53.14259529,-58.37032795,-53.99405956,-57.4914,-49.9474,-49.6178,-49.47128296,-48.18952084,-48.42755795,-50.1945,-52.163,-53.6461,-52.6391,-53.3989,-49.96955395,-51.9695282,-50.15707016,-67.78228283,-61.59472466,-51.34451389,-61.03217602,-69.78237629,-65.0947094,-60.4072,-52.7196,-57.9071
7,-0.485982209,-51.9523859,-57.07943439,-52.70314217,-56.2829,-48.8304,-48.4825,-48.34516048,-47.01762199,-47.21903801,-48.986,-50.8812,-52.3827,-51.3756,-52.163,-48.59447479,-50.46951771,-49.28207397,-66.09475613,-60.65714359,-50.21953583,-59.90719795,-68.21978092,-63.21978569,-58.7822,-51.5946,-56.8446
8,-0.483985394,-50.85375309,-55.88922501,-51.53124332,-55.2117,-47.8142,-47.4479,-47.31974602,-45.94643116,-46.10209465,-47.8691,-49.7276,-51.2291,-50.2403,-51.0277,-47.46937752,-49.53205585,-47.9695797,-65.28222561,-59.28218365,-49.34453964,-58.90715122,-67.34478474,-61.96975708,-57.7822,-50.532,-55.9696
9,-0.481988966,-49.87411499,-54.8088789,-50.49667358,-54.2596,-46.9078,-46.5415,-46.42252922,-44.99428272,-45.11330128,-46.862,-48.7022,-50.222,-49.2241,-50.0206,-46.59438133,-48.34449291,-47.40691185,-64.032197,-57.96968937,-47.90711403,-58.03215504,-65.7197237,-61.09476089,-56.9072,-49.4695,-54.4071
